Min_Supp,Count_Hconf1,Count_Hconf2,Count_Hconf3
0.45,2529.827317,2793.812927,55.121142
0.50,1863.858859,318.756513,98.897530
0.55,1446.138534,107.159533,30.747507
0.60,709.479657,643.075097,32.005777
0.65,715.759750,102.515071,27.710861
