Datasize,Time
4904,4.766587257385254 
9808,9.122757911682129 
14712,13.611180543899536 
19616,34.90451979637146 
24520,46.66067576408386 
29424,59.68558740615845 
34328,72.35415506362915 
39232,89.52420473098755 
44136,89.53827714920044 
49046,102.68891310691833
